name|university
Rhyd Lewis|University of Texas at San Antonio
Vincent Olive|University of California Irvine
Ling-Ling Yan|University of Parma
Peer Kröger|University of Virginia
Riccardo Guidotti|École normale supérieure   Paris
Raghu Ramakrishnan|University of Ulsan
Andreas Luszczak|University of Tsukuba
Debi Prasanna Acharjya|University of Hanover
Kang Zhang 0001|Massachusetts Institute of Technology
Franziska Klügl|Baylor University
Josep Domingo-Ferrer|University of Nevada Reno
Adel Benaissa|Maastricht University
Yannis Marinakis|Charles University in Prague
Radko Mesiar|Kobe University
Mario Tokoro|Wake Forest University
François Bry|Durham University
Andreas Paepcke|Yokohama City University
Milan Vlach|Seoul National University
Peter Niblett|Purdue University West Lafayette
Iván Trejo-Zúñiga|Ohio University
Peter Lake|Nanjing University
Ninghui Li|University of Konstanz
Roney Cordenonsi|Queen's University
George Dimitrakopoulos|University of Auckland
Abdelghani Benharref|University of Calgary
Alexander Franz|Université catholique de Louvain
Malisa Vucinic|University of Illinois at Chicago
Annejet P. Meijler|University of Liège
Zakarya Drias|Vanderbilt University
Dimitri Voilmy|Northwestern University
Donald Whiting|Kobe University
Johannes Kanig|Aix Marseille University
Zonghuan Wu|University of Central Florida
Simone Pribbenow|University of Trieste
Hamamache Kheddouci|San Diego State University
François Terrier|University of Texas Southwestern Medical Center
Sherif Sakr|University of Queensland
E. Hangel|Chonnam National University
S. Voigt|University of Miami
Simon J. Cox|University of Alabama   Tuscaloosa
Min Wang 0001|University of Glasgow
Vito Trianni|University of Turku
J. N. Venkatesh|University of Jena
Arif Tumer|University of Glasgow
Utpal Pal|University of Rennes 1
Frederick Maier|Swiss Federal Institute of Technology in Lausanne
Lei Zhang 0001|University of Sydney
Klaus Turowski|Rutgers University New Brunswick
André Santanchè|Chiba University
George Samaras|Columbia University
Leah Bar|City University London
Maria Adriana Vidigal de Lima|Tokyo Institute of Technology
Junji Yamato|London School of Hygiene & Tropical Medicine
Siddhartha Bhattacharyya|Paris Descartes University
Sameh Elnikety|Nanjing University
Christophe Pradal|University of California Santa Cruz
Zhihui Lai|Nanjing University
Sergej Alekseev|University of Maryland Baltimore
Ian Davidson|University of KwaZulu Natal
José Fernando Gonçalves|Xiamen University
Amol Deshpande|Technical University of Madrid
Jules Degila|University of Dundee
Marek Rusinkiewicz|University of Louisville
Luke Barrington|Central South University
Juan-Carlos Cano|Nagoya University
Richard Fujimoto|Boston University
Marc Pirlot|École Polytechnique
Panos K. Chrysanthis|Tokyo Institute of Technology
Cristiano Russo|Paul Sabatier University   Toulouse III
Xuemin Lin 0001|Dresden University of Technology
Norbert Siegmund|Stanford University
Martin Hanke-Bourgeois|Ludwig Maximilian University of Munich
Fabiano Tarlao|University of Rome Tor Vergata
Judie Attard|Brigham Young University
Elzbieta Hajnicz|Durham University
Saadi Boudjit|Beijing Normal University
Nabil Sahli|West Virginia University
Didier Aubry|Scuola Normale Superiore di Pisa
Bram Lievens|Yale University
Nicola Timeus|University of California San Francisco
Debahuti Mishra|Chinese University of Hong Kong
Thomas Schrader|Ben Gurion University of the Negev
Gordon J. Pace|University of Virginia
Marlon Dumas|Brigham Young University
Stéphane Frénot|Washington State University Pullman
Bruno Bonté|University of California Berkeley
Rainer Schnell|Cardiff University
Tevfik Bultan|Carnegie Mellon University
Francesco Bongiovanni|South China University of Technology
Hiba Tabbara|University of Tokyo
Anna Wilbik|Catholic University of the Sacred Heart
Benedetto Matarazzo|Lund University
Yannis E. Ioannidis|Rockefeller University
Bonnie J. Dorr|University of Washington   Seattle
Hassine Moungla|University of Denver
Dongmin Guo|Michigan State University
Alex X. Liu|University of Queensland
Ivana Passamani|Wayne State University
Michael Huth|University of Hanover
Keyurkumar Patel|Shinshu University
Konstantinos Varvoutas|Tulane University
Shiping Chen 0001|University of Arizona
Marie Toldo|University of Ottawa
Kalervo Järvelin|University of Cape Town
Tobias Brandt|University of California San Francisco
Qian Lin|Sapienza University of Rome
Valdir Agustinho de Melo|University of Iowa
Sung-Kook Han|Pompeu Fabra University
Aidan Lyon|National Taiwan University
Julien Ponge|University of Buenos Aires
Karen Works|Kyushu University
Stefan Schauer|Charles University in Prague
Michael Hunter|Rice University
Vladimir Trajkovik|Eindhoven University of Technology
M. Pigazzini|Zhejiang University
Michael Trent|West Virginia University
Peter H. Schmitt|Creighton University
Petra Budíková|Okayama University
Goran Bujas|Korea University
Alia I. Abdelmoty|University of Buenos Aires
Ali Hamidi|Leiden University
Boris Kaganovich|Hannover Medical School
Jian Lü 0001|University of Chile
Maria Luisa Sapino|University of Jena
Joachim Hertel|Iowa State University
Eduard Gringinger|University of Hawaii at Manoa
Wei Li 0006|Durham University
Mariusz Flasinski|University of Massachusetts Medical School
Vincent Breton|Technical University of Berlin
Mohammed Erradi|Monash University
Andreas Dander|University of Toronto
Tanja Tarvainen|Chulalongkorn University
Jörg Benze|Rensselaer Polytechnic Institute
Xiao Zhou|Nagasaki University
Frank Kargl|Polytechnic University of Milan
Haitham Yaish|University of KwaZulu Natal
Yang Feng|University of British Columbia
Utz Westermann|Stellenbosch University
Hans-Arno Jacobsen|Université libre de Bruxelles
Laura Bahiense|University of Reading
Ajoy Kumar Datta|University of Antwerp
Matti Lassas|Swiss Federal Institute of Technology in Lausanne
Riad Ladjel|University of Notre Dame
Prithviraj Dasgupta|Kanazawa University
Ramphul Ohlan|University of East Anglia
Yan Zhang 0030|Osaka City University
Todd Eavis|Korea Advanced Institute of Science and Technology (KAIST)
Mor Peleg|University of Oklahoma   Norman Campus
Serge Mankovski|University of Seville
Hatem Hadj Kacem|San Diego State University
Luigi Ubezio|Concordia University
Stefan Henningsson|University of Erlangen Nuremberg
Leah Mutanu|University of Illinois at Chicago
Rabha W. Ibrahim|University of Oslo
Syed S. Rizvi|Sungkyunkwan University
Payam Tabrizian|Dalhousie University
Guolong Wang|Rush University
Alexander Beck|Polytechnic University of Valencia
Pham Huy Dien|University of Wyoming
James O. Berger|Mines ParisTech
Stefano Caselli|Rutgers University New Brunswick
Quan Chen 0002|University of Porto
Vincenzo Piuri|National Taiwan University
Son T. Mai|Korea Advanced Institute of Science and Technology (KAIST)
Leonard J. Jowers|University of Colorado Boulder
Nasro Min-Allah|Ohio University
R. Welge|University of Sussex
Samiha Ayed|Texas A&M University College Station
Imene Mami|Aarhus University
Hans-Peter Kriegel|University of Bristol
V. Aakanksha|University of Texas Medical Branch at Galveston
Josep Carmona 0001|Purdue University West Lafayette
Jürgen Wäsch|University of Campinas
Rajat Mehrotra|Massachusetts Institute of Technology
Eunice Sirri|Saint Louis University
Teodor Gabriel Crainic|University of Hong Kong
László Györfi|Yokohama National University
Giuseppe De Giacomo|Dresden University of Technology
Bill Curtis|Justus Liebig University Giessen
Ozgur Kurc|Sungkyunkwan University
Kerry L. Taylor|University of Basel
Alexandre Termier|University of Texas Health Science Center at Houston
Nevenka Dimitrova|City University London
Nicolas Hascoët|University of Bordeaux I
Christopher B. Jones|Gyeongsang National University
Martin Wessner|University of Chicago
Chiara Tacchino|Creighton University
Tossapon Boongoen|Rutgers University New Brunswick
Adrien van den Bossche|Ruprecht Karl University of Heidelberg
Yufei Tao 0001|Tianjin University
Alain Léger|University of Sussex
Mohand-Said Hacid|VU University Amsterdam
Dechang Pi|University of Bordeaux I
Zhinoos Razavi Hesabi|Indian Institute of Technology Delhi
Imane Mnie-Filali|Ben Gurion University of the Negev
Nicolas Bigards|Xiamen University
Michel Herbin|Otto von Guericke University Magdeburg
Matthew Blumberg|University of Liège
Chibuzor Udokwu|Princeton University
Kévin Bouchard|University of South Carolina   Columbia
Dangxiao Wang|Huazhong University of Science and Technology
Murat Kantarcioglu|Pierre and Marie Curie University
Gamal Elkoumy|Simon Fraser University
Jorge Coelho 0001|University of Leicester
A Min Tjoa|University of Illinois at Chicago
Mark Hauschild|University of Pennsylvania
Sherif Abdelwahed|University of Pisa
Guillaume Urvoy-Keller|University of Perugia
Sarunas Girdzijauskas|Lund University
Gabriele Meoni|University of Wyoming
Anna Kasperczuk|University of Campinas
Uwe Meyer-Baese|Queen's University
Jon A. Pastor|University of Edinburgh
Krishna Mohan Poluri|University of Barcelona
Wim Vanderperren|University of Duisburg Essen
Douglas Frye|Gwangju Institute of Science and Technology
Volker Reitmann|University of Arkansas for Medical Sciences
Nancy D. Griffeth|Purdue University West Lafayette
Mohamed Jmaiel|University of Marburg
Tobias Baum|University of Milan   Bicocca
Zack Settel|Seoul National University
Mehmet M. Dalkiliç|Cranfield University
Leo Corry|University of Milan
David Corne|University of Montpellier 2
Mohammad Alhawari|Medical University of Vienna
Peter J. Fleming|University of the Witwatersrand
Pietro Zanuttigh|Stellenbosch University
Que Nguyet Tran Thi|Dalian University of Technology
Otmar Scherzer|Johannes Gutenberg University of Mainz
Bernard Zygelman|University of Iowa
Chi Yang|University of North Carolina at Chapel Hill
Shaoyi Yin|University of Ulsan
Yuqi Lin|University of Perugia
J. Harshan|Autonomous University of Barcelona
Kyung Hyan Yoo|University of Exeter
K. Senthil Kumar|University of California San Diego
Sven Schade|University of Maryland College Park
Mohamad Sawan|University of Otago
Fan Du|George Mason University
Robert Noll|Middle East Technical University
José Valdeni de Lima|University of Waterloo
Mária Bieliková|Kyungpook National University
Cyrille Bertelle|University of Kentucky
Roberto Baldoni|York University
Johannes Wagner 0004|National Tsing Hua University
Jiajin Le|Kyoto University
Shonali Krishnaswamy|University of Modena and Reggio Emilia
Véronique Legrand|University of Amsterdam
Robert Grob|Stockholm University
Natthakan Iam-on|University of Hawaii at Manoa
Chao Zhai 0002|Free University of Berlin
Mike P. Papazoglou|University of Padua
Dietrich Kuske|Otto von Guericke University Magdeburg
Abdallah Makhoul|University of Maryland Baltimore
Hassan Tabout|Dalian University of Technology
Wenchao Xu 0001|Korea University
Ken Chen|University of Cincinnati
Klaus Nökel|Medical University of South Carolina
Sofiane Ben Amor|Southern Methodist University
Ahmed Bouridane|Xi'an Jiaotong University
Irina Georgescu|Loyola University Chicago
Nathalie Habing|University of Denver
Michael Stonebraker|Monash University
Grégory Legouverneur|University of Zurich
Thomas Zimmermann 0001|Chonnam National University
Gianpierre Zapata|Queen's University Belfast
Alfred Kobsa|Polytechnic University of Valencia
Badong Chen|Kyushu University
Hoa Ha Duong|Osaka University
Nadège Pontisso|Paris Descartes University
Muhammad Summair Raza|University of Copenhagen
Kin F. Li|University of Missouri–Columbia
Giannis Tzimas|University of Montpellier 2
Abdelmadjid Boukra|University of Oxford
Viviane von Döllen|Hiroshima University
Marie Le Guilly|Yale University
Francisco M. Couto|Royal Institute of Technology
Mor Naaman|Temple University
Christian Knöpfle|Brunel University
K. Park|Xi'an Jiaotong University
Badr-Eddine Benkelfat|San Diego State University
Bin Cui 0001|University of Southern California
Sébastien Monnet|Ludwig Maximilian University of Munich
Michel Lamure|Goethe University Frankfurt
Eddie Li|University of Houston
Minyi Guo|University of Sheffield
Hector Garcia-Molina|University of Southampton
Peter D. Mosses|Boston College
Jürgen Angele|Iowa State University
George F. Luger|University of Trieste
Daniele Sancarlo|University of Liverpool
Saikat Mukherjee|University of California Los Angeles
Gualtiero Volpe|Juntendo University
Anja Bog|Brown University
Nilesh N. Dalvi|University of Florence
Sebastian Heil|École normale supérieure   Paris
Stefan Sklorz|University of Hanover
Michael M. Bronstein|San Diego State University
Georg Boenn|University of Basel
Isabelle Dela Torre|University of Turin
Lutz-Peter Kurdelski|University of California Santa Cruz
Jens Graupmann|Pontifical Catholic University of Chile
Amihai Motro|University of California San Diego
Aurélie Suzanne|University of Mississippi   Oxford Campus
Enrique Bermejo Nievas|University of Glasgow
Antonio Coronato|National University of Singapore
Chris J. Lintott|University of Rome Tor Vergata
Gabriele Taentzer|Peking University
Anthony Jameson|University of Cincinnati
Ichiro Ide|Temple University
Mostafa Blidia|University of Duisburg Essen
Slawomir Zadrozny|Pierre and Marie Curie University
Janne Skyt|University of Rennes 1
Serena Caria|University at Buffalo The State University of New York
Paulo Leitão|Stanford University
Oliver Dorn|University of Turku
Rudolf Berghammer|Grenoble Institute of Technology
Otthein Herzog|École normale supérieure de Lyon
Angshuman Guin|University of Bergen
Mário Florido|Chulalongkorn University
Khizar Hayat 0002|University of Illinois at Chicago
Diederik Vos|University of Washington   Seattle
Ulrich Schäfer|Stockholm University
Kazuo Goda|Boston University
Ratna Dutta|Kyung Hee University
Oguzcan Ergün|Ohio State University Columbus
Carlos Cotta|Beijing Normal University
Luca Roversi|University of Birmingham
Morgan Ericsson|University of South Carolina   Columbia
Marlies Rogalski|Niigata University
Mounia Lalmas|University of Alberta
Justus F. M. Broß|University of Sydney
Sameer B. Mulani|Illinois Institute of Technology
Sajal Rustagi|University of Science and Technology of China
Serge Bourbonnais|University of Southern Denmark
Wilson R. Nyemba|Purdue University West Lafayette
Daniel Veit|University of Barcelona
Eberhard E. Wedekind|University of Oxford
Andrew T. Duchowski|University of Leeds
Ferdinand Bollwein|Saarland University
Md. Mostofa Akbar|Charles University in Prague
Kemele M. Endris|University of Victoria
Rakesh Kumar|National Tsing Hua University
Fabio Kon|Macquarie University
Loris Penserini|New York University
Peter Sarlin|Saint Louis University
Gerhard Rigoll|Umeå University
Gerald J. Popek|Brunel University
Lisa P. Nathan|Dartmouth College
Ahmed Meddahi|University of Delhi
Michael Milford|University of Verona
Kais Haddadin|University of British Columbia
Jürgen Lind|Nanyang Technological University
Volker Markl|Federal University of Minas Gerais
Christian Lavault|University of Hull
Nahum Kiryati|Saint Petersburg State University
Ali Kanso|Iowa State University
Hendrik Witt|Florida State University
Bettina Kemme|Washington University in St. Louis
Stéphane Laurière|Case Western Reserve University
Mohammed Baseer|Massachusetts Institute of Technology
Ennacer Boudiba|Katholieke Universiteit Leuven
Sébastien Faye|Princeton University
Jan Kubovy|University of Texas Health Science Center at San Antonio
Jean Hennebert|New York University
Oleksandra Levchenko|University of Düsseldorf
Marija Bacauskiene|University at Buffalo The State University of New York
Les Carr|Xiamen University
Hong Li|Jilin University
Athanasios Migdalas|Syracuse University
Norbert Drescher|University of Victoria
Lefteri H. Tsoukalas|University of Missouri–Columbia
Claudia Wyrwoll|University of Granada
Trevor Harmon|Tongji University
Eugeny Goncharov|École normale supérieure   Paris
Mario Inostroza-Ponta|Icahn School of Medicine at Mount Sinai
Yu Chen 0002|Icahn School of Medicine at Mount Sinai
Bertram Ludäscher|University of California Irvine
Minghua Jiang|University of California Santa Barbara
Chee Keong Ng|Brandeis University
Claudio Bettini|Osaka University
Christa Illibauer|University of Liège
Volker Schwarzer|Tianjin University
Nikolaos Konstantinou 0001|Laval University
Rosanna Fanni|Saint Louis University
Julie Digne|Pusan National University
Dulcineia Carvalho|Macquarie University
Julián Luengo|University of Nebraska–Lincoln
Elisa Piazza|University of Nebraska–Lincoln
Christian Huemer|Lehigh University
Alexander Felfernig|Rice University
Samanta Villanueva Mascato|Ohio State University Columbus
George D. Stamoulis|University of Ferrara
Paolo Busetta|Florida State University
Sylvain Giroux|Aalto University
Esin Gokkoca|Rush University
Brant A. Cheikes|University of North Carolina at Chapel Hill
Marco Zapletal|West Virginia University
Klaus Pohl|University of Oxford
Stanislav Pokraev|Tokyo Institute of Technology
Korra Sathya Babu|University of Bonn
Patrick Taillandier|Maastricht University
Khalid Belhajjame|Leipzig University
Elena Simperl|Royal Institute of Technology
Stefano Zacchiroli|Nanyang Technological University
Athanasia Asiki|Tulane University
Cleve B. Moler|University of California San Francisco
Herbert Ehler|University of Science Malaysia
Christine Reck|University of New South Wales
Bernadette Farias Lóscio|Medical College of Wisconsin
Barry W. Charles SuscheckBoehm|Charles University in Prague
Stéphane Pierroz|Université libre de Bruxelles
Ben Carterette|University of Washington   Seattle
Karin Dollhausen|Trinity College Dublin
Barbara Pes|University of California Los Angeles
Benedikt Putz|University of California San Francisco
Marco Viviani|University of Montpellier 2
Philip A. Bernstein|RWTH Aachen University
Kazutaka Furuse|Autonomous University of Barcelona
Idir Aït-Sadoune|University of Warwick
Van Sinh Nguyen|Yeshiva University
Chris D. Nugent|Boston College
Riccardo Giannini|University of Florida
Vitor Lima|University of Georgia
Julian Togelius|Medical College of Wisconsin
Oscar Montiel Ross|University of Miami
Ezra Kissel|University of Sydney
Raca Todosijevic|University of Adelaide
Jonghyun Kahng|Eötvös Loránd University
Patrick Martin 0001|Yeshiva University
Ansgar Radermacher|Kanazawa University
Thomas Rahlf|Pohang University of Science and Technology
Mike Preuss|Vita Salute San Raffaele University
Omar Cherkaoui|University of Pavia
Hamid Reza Motahari-Nezhad|University of Otago
Wolfgang Reif|University of Akron
Felix Kossak|Syracuse University
Mohammed Ismail 0001|Ben Gurion University of the Negev
Diego Gaspari|National Autonomous University of Mexico
Dan Olteanu|Joseph Fourier University
Yi Li|Université catholique de Louvain
José Rouillard|Umeå University
Roberto Speicys Cardoso|University of Western Australia
Al-Sakib Khan Pathan|Johannes Gutenberg University of Mainz
Agustín Riscos-Núñez|University of Hull
Hacène Fouchal|University of Stuttgart
Shijie Zhou 0001|University of Denver
Tania Iglesias|University of Wyoming
Ioannis Deliyannis|Justus Liebig University Giessen
Ujjwal Maulik|Oklahoma State University–Stillwater
Marco Cinquegrani|École Polytechnique
Quan Z. Sheng|University of Reading
Haiyuan Xu|Saarland University
Reinhard Schneider 0002|University of California Los Angeles
Harry Halpin|University of Alabama   Tuscaloosa
Iván Cantador|Vienna University of Technology
Stavros Papastavrou|University of Oulu
Margherita Zorzi|Nagoya University
Yevgeniy Vorobeychik|University of Rochester
E. Hopper|Keio University
Peter J. M. van Laarhoven|University of Göttingen
Valeria De Antonellis|National Tsing Hua University
Kazuhiro Sakata|University of New South Wales
Richard Arthur|George Mason University
Nitul Dutta|University of Massachusetts Medical School
Ce Zhang 0001|University of Pisa
Yahiko Kambayashi|Johannes Gutenberg University of Mainz
Sakina Mahboubi|University of California Santa Barbara
Stefania Petra|University of Amsterdam
Donald Steiner|Uppsala University
Liane Gabora|Beijing Normal University
Takayuki Ito 0001|Medical University of South Carolina
Xiufeng Liu|Medical College of Wisconsin
Miguel Liroz-Gistau|University of Alabama   Tuscaloosa
Scott Butner|Illinois Institute of Technology
Dean Kuo|University of Perugia
Vladimir Vapnik|University of Texas Health Science Center at San Antonio
Frederic T. Stahl|University of São Paulo
Guilhem Paroux|University of Cologne
Marie-Odile Cordier|University of Konstanz
Ozan Öktem|University of California Los Angeles
Cristian Pérez de Laborda Schwankhart|University of Basel
Margareta Ciglic|University of Alabama at Birmingham
Ulf-Daniel Ehlers|University of Alabama   Tuscaloosa
Petra Heinl|West Virginia University
Alain Pujol|Sapienza University of Rome
Laura Margarita Rodríguez Peralta|Syracuse University
Lijia Ma|Northwestern University
Deborah L. McGuinness|Lomonosov Moscow State University
Hans Weigand|Case Western Reserve University
Tudor Dumitras|University of Leicester
Ricardo Baeza-Yates|University of Manitoba
Vanilson Arruda Burégio|University of California Davis
Pietro Siciliano|University of Science Malaysia
Phuong Huynh Van Quoc|RWTH Aachen University
Dharmik Karania|University of Tampere
Peter L. Stanchev|Zhejiang University
Kurosh Madani|Polytechnic University of Catalonia
Pinar Koksal|Tohoku University
Patrice Poujol|University of Warsaw
Maximilien Servajean|École normale supérieure   Paris
Raphael Yahalom|Brown University
Hamza Idbenouakrim|University of Oulu
Thomas Ziebermayr|University of Ulsan
Paul Warren|University of Parma
Domenico Lembo|University of Gothenburg
Bernard Goossens|Complutense University of Madrid
Callan Moore|University of Canterbury
Anupam Basu|University of Melbourne
Aicha Choutri|University of Trieste
Ulrich Reimer|Virginia Commonwealth University
Thomas Bjørner|Nagasaki University
Christian Winnewisser|University of Kentucky
King-Lup Liu|University of Turin
Jovan Pehcevski|Kobe University
Khouloud Boukadi|Norwegian University of Science and Technology
George Bravos|Hokkaido University
Sergi Mateo Bellido|Brigham Young University
Sara Comai|Niigata University
Peng Yan|University of Texas at San Antonio
Ignacio Fernández-Tobías|National Autonomous University of Mexico
Gauthier Quesnel|Temple University
Jemal H. Abawajy|University of Texas Southwestern Medical Center
Emmanuelle Puigserver|New Mexico State University
Alasdair J. G. Gray|Kumamoto University
Friedrich L. Bauer|University of New Mexico
Mark S. Fox|University of Bern
Rouwaida Abdallah|Nagasaki University
Jon Peddie|Shanghai Jiao Tong University
Mark A. Cameron|Ben Gurion University of the Negev
Javier Cámara|University of Manchester
Günter Böckle|Boston College
Tiphaine Henry|Indiana University Purdue University Indianapolis
Afsaneh Haddadi|University of Alabama at Birmingham
Hans-Joachim Novak|Shinshu University
Val Tannen|London School of Hygiene & Tropical Medicine
Nuno Pombo|Julius Maximilian's University of Würzburg
Nanbor Wang|University of Texas Health Science Center at San Antonio
Guntram Scheithauer|University of Texas MD Anderson Cancer Center
Reynold Cheng|Washington State University Pullman
Sebastian Wieczorek|Nanyang Technological University
Harald Kosch|Louisiana State University   Baton Rouge
Huanzhang Fu|University of Texas Medical Branch at Galveston
Robert Heinrich|Innsbruck Medical University
Michael Ovelgönne|University of Bordeaux I
Anatoly Vlasovich Chigarev|University of Tübingen
Wojciech Cellary|Brandeis University
Per-Åke Larson|University of Texas Health Science Center at San Antonio
Elöd Egyed-Zsigmond|Hiroshima University
Romain Bardou|University of Bordeaux II
Laurent Younes|Stanford University
Eirini Ntoutsi|Shandong University
Yuming Jiang 0001|University of Trieste
Ahmad Taleb|University of Milan
Ralf Karrenberg|Western University (The University of Western Ontario)
Gabor T. Herman|University College London
Liming Chen 0001|Beijing Normal University
Liming Chen 0002|Nagoya University
Francisco J. Rodríguez 0003|Tsinghua University
Samra Boulfekhar|University of Mississippi   Oxford Campus
Elth Ogston|Colorado State University   Fort Collins
Guido Pfeiffer|Chulalongkorn University
Alba Cristina Magalhaes Alves de Melo|University of California Berkeley
Toramatsu Shintani|University of Sussex
João Paulo de Brito Gonçalves|Texas Tech University (TTU)
Philippe Thiran|University of Virginia
Michael Kifer|University of Alabama   Tuscaloosa
Vincent Autefage|University of Tokyo
Olivier Maréchal|Monash University
Anne-Claire Marmilloud|Université libre de Bruxelles
Puneet Singla|Baylor University
Vasudha Krishnaswamy|University of Ferrara
Charles Zhang|Georgetown University
Carlos Cotta Porras|Case Western Reserve University
Akhil Kumar 0001|Miami University
Akka Zemmari|Ajou University
Tobias Schreck|VU University Amsterdam
Katarzyna Kapusta|Versailles Saint Quentin en Yvelines University
Irina Veyalko|University College London
Norbert Ritter|University of Bristol
Carson C. Woo|Medical University of South Carolina
Olivier Brun|VU University Amsterdam
Günther Kaufmann|École normale supérieure   Paris
Sidoine Ode|Vienna University of Technology
Madhu Goyal|Virginia Polytechnic Institute and State University
Dhirendra Singh|University College Cork
Thilina Buddhika|University of Massachusetts Amherst
Christian Callegari|Yokohama National University
Pascal Cuoq|Thomas Jefferson University
Martin Wirsing|Medical College of Wisconsin
Kishwar Ahmed|Kyushu University
Peter Cooper|University of Ferrara
Veronica Sierra|University of Florida
Rüdiger Kapitza|Chinese University of Hong Kong
Ahlem Mifdaoui|University of Queensland
Meichun Hsu|Okayama University
Gianna Bertacchi|University of Pavia
Dominique Snyers|Jilin University
Ivan Jureta|University of Bern
Martin Wieczorek|Texas Tech University (TTU)
Eric Olivier|Polytechnic University of Valencia
Woojin Chung|Colorado School of Mines
Massimo Mecella|University of Miami
Lorenzo Genta|Osaka University
Volker Baier|University College London
Christian Colombo 0001|Middle East Technical University
Grégoire Lefebvre|University of Tampere
Youssef Chahir|University of British Columbia
John Domingue|Eindhoven University of Technology
Panagiotis T. Artikis|University of California Davis
Athanasios V. Vasilakos|University of Lausanne
Leibo Liu|Free University of Berlin
Johanna Schäwel|University of Western Australia
Trung-Viet Nguyen|San Diego State University
Alexandru Dumitriu|University of Otago
Reimar Schröter|Goethe University Frankfurt
Yiyu Yao|University of Waterloo
Raja Chiky|University of Kentucky
Amélie Marian|Innsbruck Medical University
Lei Pan 0002|Tel Aviv University
Darren Quick|University of Warsaw
Arnaud Giacometti|Aix Marseille University
Manos Dramitinos|National Autonomous University of Mexico
Antoine Dutot|Durham University
Ljiljana Stojanovic|Oklahoma State University–Stillwater
Ines Doghri|Chinese University of Hong Kong
Mahdi Derakhshanmanesh|University of Cologne
Paul Beynon-Davies|Southeast University
David A. Duce|Juntendo University
Ignacio Gómez-Martinho|University of St Andrews
Il-Yeol Song|University of Delaware
Simon Patarin|Paul Sabatier University   Toulouse III
Pat Helland|National Taiwan University
David Carmel|University of Geneva
Norbert Ryska|Chiba University
Jesús Sánchez-Oro|Polytechnic University of Catalonia
Damien Olivier|University of Erlangen Nuremberg
Lida Mercedes Barba Maggi|Arizona State University
Alessandro Palla|Indiana University Purdue University Indianapolis
Abhirup Chakraborty|Claude Bernard University Lyon 1
Herwig Unger|National University of Singapore
Paraskevas Evripidou|University of Central Florida
Nicola Capodieci|Dalhousie University
Yanlei Diao|Boston University
Robin McEntire|University of Amsterdam
Fuchun Guo|Pompeu Fabra University
Murat Ahat|University of Konstanz
Vladimír Bartík|Wuhan University
Gautam Das 0001|Leipzig University
Ju Huyan|University of New Mexico
Felipe Serpeloni|Saarland University
Thijs Westerveld|University of Virginia
Tarek Bouali|Indiana University   Bloomington
Aybar Can Acar|University of St Andrews
Jörg Rothe|London School of Economics
Johan Montagnat|University of Ottawa
Dramane Ouattara|University of Tsukuba
Patrick O'Neil|Hiroshima University
Masaru Kitsuregawa|University of Copenhagen
Mikael Desertot|University of Milan
Marie-Laure Reinberger|University of Lisbon
Cláudia Jacy Barenco Abbas|University of Aberdeen
Domenico Quagliarella|University of Arkansas for Medical Sciences
Peng Dai|University of South Florida   Tampa
Norikatsu Nagino|Kansas State University
Ma Carmen Díaz-Mardomingo|Dalhousie University
Jan Demey|City University London
Robert I. Soare|Harbin Institute of Technology
Nasrin Kalanat|Otto von Guericke University Magdeburg
Eric S. K. Yu|University of Florence
Gregorio Procissi|University of Turku
Agostino Poggi|Drexel University
Elvinia Riccobene|University at Buffalo The State University of New York
Michael Angelo|University of Regensburg
Laura Pollacci|Pompeu Fabra University
Xiang Sean Zhou|Aalto University
Douglas H. Morais|Eötvös Loránd University
Samira Maghool|Brown University
Hisham Salah|Washington State University Pullman
Frank Hung-Fat Leung|University of Auckland
Ming-Chen Hsu|University of Ottawa
Susan Weissman Lauzac|University of Delhi
Heiner Stuckenschmidt|University of Arkansas for Medical Sciences
Pierre Castéran|Medical University of South Carolina
Vladimir Lifschitz|Huazhong University of Science and Technology
Felix Naumann|University at Buffalo The State University of New York
K. Mani Chandy|Maastricht University
Asuman Dogac|University of Pennsylvania
Ling Luo 0002|Juntendo University
Sébastien Gambs|University of Illinois at Chicago
Stefano Bottazzi|Ludwig Maximilian University of Munich
Matthias Pflanz|University of Lausanne
João Zamite|University of Delaware
Bing Liu 0001|Korea University
Sebastien Gerard|Tel Aviv University
Marc-Philippe Huget|Karolinska Institute
Richard Bonichon|University of Reading
Alfredo Garro|University of Colorado Boulder
Nikolai Chilov 0001|University of Miami
Vincent Duindam|Katholieke Universiteit Leuven
Nikolaus Correll|Johns Hopkins University
Chris Cornelis|University of Paris Sud
Bruno Alexandre Teixeira Gouveia|Swedish University of Agricultural Sciences
Yadira Peláez|Pierre and Marie Curie University
Bechir Zalila|University of New South Wales
Frank Wm. Tompa|University of Sussex
Wonhee Lee|Peking University
Vicent Caselles|Swiss Federal Institute of Technology in Zurich
Femke Elise van Beek|University of Aberdeen
Evelyne Henri|Ohio State University Columbus
Mauro Gaspari|Technical University of Madrid
Jacques Demongeot|Brown University
Roy H. Campbell|University of California Davis
Toine Staring|Complutense University of Madrid
Ibrahim A. Hameed|Rutgers University New Brunswick
Xiangxue Zhao|University of Siena
Wafa Ben Jaballah|Stellenbosch University
Carole Delporte-Gallet|Sapienza University of Rome
Janice L. Coen|Innsbruck Medical University
Lalitha Agnihotri|Texas A&M University College Station
Ibrahim Cingil|University of Virginia
Hårek Haugerud|University of Utah
